import time: self [us] | cumulative | imported package
import time:       244 |        244 |                                             pandas._libs.pandas_parser
import time:       124 |        124 |                                             pandas._libs.pandas_datetime
import time:       210 |        210 |                                                         pandas._libs.tslibs.ccalendar
import time:       278 |        278 |                                                         pandas._libs.tslibs.np_datetime
import time:       888 |       1376 |                                                       pandas._libs.tslibs.dtypes
import time:       143 |        143 |                                                         pandas._libs.tslibs.base
import time:       319 |        319 |                                                             pandas._libs.tslibs.nattype
import time:       173 |        173 |                                                                 pandas.compat._optional
import time:       765 |        765 |                                                                     six
import time:        30 |         30 |                                                                     six.moves
import time:       158 |        158 |                                                                     dateutil.tz._common
import time:       136 |        136 |                                                                     dateutil.tz._factories
import time:        20 |         20 |                                                                       six.moves.winreg
import time:       162 |        182 |                                                                     dateutil.tz.win
import time:       674 |       1943 |                                                                   dateutil.tz.tz
import time:       128 |       2070 |                                                                 dateutil.tz
import time:       400 |       2642 |                                                               pandas._libs.tslibs.timezones
import time:       591 |        591 |                                                                 _strptime
import time:       117 |        117 |                                                                 pandas._config.localization
import time:       433 |       1141 |                                                               pandas._libs.tslibs.fields
import time:       674 |       4456 |                                                             pandas._libs.tslibs.timedeltas
import time:       342 |        342 |                                                             pandas._libs.tslibs.tzconversion
import time:       638 |       5753 |                                                           pandas._libs.tslibs.timestamps
import time:       164 |        164 |                                                           pandas._libs.properties
import time:      1198 |       7114 |                                                         pandas._libs.tslibs.offsets
import time:        98 |         98 |                                                               dateutil._common
import time:       749 |        846 |                                                             dateutil.parser._parser
import time:       221 |        221 |                                                             dateutil.parser.isoparser
import time:       178 |       1243 |                                                           dateutil.parser
import time:       665 |        665 |                                                           pandas._libs.tslibs.strptime
import time:       532 |       2439 |                                                         pandas._libs.tslibs.parsing
import time:       409 |      10103 |                                                       pandas._libs.tslibs.conversion
import time:       508 |        508 |                                                       pandas._libs.tslibs.period
import time:       312 |        312 |                                                       pandas._libs.tslibs.vectorized
import time:       216 |      12513 |                                                     pandas._libs.tslibs
import time:        30 |      12543 |                                                   pandas._libs.tslibs.nattype
import time:       148 |        148 |                                                   pandas._libs.ops_dispatch
import time:       359 |      13048 |                                                 pandas._libs.missing
import time:      1168 |      14216 |                                               pandas._libs.hashtable
import time:      1337 |       1337 |                                               pandas._libs.algos
import time:       666 |      16218 |                                             pandas._libs.interval
import time:       120 |      16704 |                                           pandas._libs
import time:        94 |         94 |                                             pandas.core.dtypes
import time:        73 |         73 |                                               pyarrow
import time:       820 |        893 |                                             pandas._libs.lib
import time:       520 |        520 |                                             pandas.errors
import time:       370 |        370 |                                               pandas.core.dtypes.generic
import time:       260 |        630 |                                             pandas.core.dtypes.base
import time:       174 |        174 |                                             pandas.core.dtypes.inference
import time:      1300 |       3608 |                                           pandas.core.dtypes.dtypes
import time:       331 |        331 |                                             pandas.core.dtypes.common
import time:       320 |        650 |                                           pandas.core.dtypes.missing
import time:       215 |        215 |                                             pandas.util._decorators
import time:        92 |         92 |                                                 pandas.io
import time:       188 |        279 |                                               pandas.io._util
import time:       538 |        817 |                                             pandas.core.dtypes.cast
import time:       121 |        121 |                                               pandas.core.dtypes.astype
import time:       145 |        265 |                                             pandas.core.dtypes.concat
import time:        78 |         78 |                                               pandas.core.array_algos
import time:       210 |        210 |                                                 pandas.core.common
import time:       199 |        408 |                                               pandas.core.construction
import time:       401 |        886 |                                             pandas.core.array_algos.take
import time:       155 |        155 |                                               pandas.core.indexers.utils
import time:       104 |        259 |                                             pandas.core.indexers
import time:       510 |       2950 |                                           pandas.core.algorithms
import time:       206 |        206 |                                               pandas.core.arrays.arrow.accessors
import time:       135 |        135 |                                                 pandas.util._validators
import time:       263 |        263 |                                                 pandas.core.missing
import time:       386 |        386 |                                                     pandas._libs.ops
import time:        92 |         92 |                                                     pandas.core.roperator
import time:        78 |         78 |                                                     pandas.core.computation
import time:       201 |        201 |                                                       pandas.core.computation.check
import time:       202 |        402 |                                                     pandas.core.computation.expressions
import time:        88 |         88 |                                                     pandas.core.ops.missing
import time:        70 |         70 |                                                     pandas.core.ops.dispatch
import time:        78 |         78 |                                                     pandas.core.ops.invalid
import time:       279 |       1470 |                                                   pandas.core.ops.array_ops
import time:        88 |         88 |                                                   pandas.core.ops.common
import time:       132 |        132 |                                                   pandas.core.ops.docstrings
import time:       128 |        128 |                                                   pandas.core.ops.mask_ops
import time:       137 |       1953 |                                                 pandas.core.ops
import time:       242 |        242 |                                                 pandas.core.arraylike
import time:       190 |        190 |                                                 pandas.core.arrays._arrow_string_mixins
import time:        86 |         86 |                                                 pandas.core.arrays._utils
import time:       208 |        208 |                                                   pandas.compat.numpy.function
import time:        93 |         93 |                                                   pandas.core.array_algos.quantile
import time:       189 |        189 |                                                   pandas.core.sorting
import time:       583 |       1071 |                                                 pandas.core.arrays.base
import time:       631 |        631 |                                                   pandas.core.nanops
import time:        89 |         89 |                                                   pandas.core.array_algos.masked_accumulations
import time:        97 |         97 |                                                   pandas.core.array_algos.masked_reductions
import time:        85 |         85 |                                                     pandas.core.util
import time:       292 |        292 |                                                     pandas._libs.hashing
import time:       182 |        559 |                                                   pandas.core.util.hashing
import time:       757 |       2131 |                                                 pandas.core.arrays.masked
import time:       185 |        185 |                                                   pandas._libs.arrays
import time:       174 |        174 |                                                     pandas.core.arrays.numeric
import time:       166 |        339 |                                                   pandas.core.arrays.floating
import time:       232 |        232 |                                                   pandas.core.arrays.integer
import time:        76 |         76 |                                                       pandas.core.array_algos.transforms
import time:       367 |        442 |                                                     pandas.core.arrays._mixins
import time:        79 |         79 |                                                       pandas.core.strings
import time:       651 |        651 |                                                       pandas.core.strings.base
import time:       347 |       1076 |                                                     pandas.core.strings.object_array
import time:       302 |       1820 |                                                   pandas.core.arrays.numpy_
import time:        92 |         92 |                                                   pandas.io.formats
import time:        88 |         88 |                                                     pandas.io.formats.console
import time:       314 |        402 |                                                   pandas.io.formats.printing
import time:       496 |       3563 |                                                 pandas.core.arrays.string_
import time:        85 |         85 |                                                   pandas.tseries
import time:       304 |        389 |                                                 pandas.tseries.frequencies
import time:      1228 |      11246 |                                               pandas.core.arrays.arrow.array
import time:       151 |      11601 |                                             pandas.core.arrays.arrow
import time:       206 |        206 |                                             pandas.core.arrays.boolean
import time:       261 |        261 |                                               pandas.core.accessor
import time:       598 |        598 |                                               pandas.core.base
import time:       779 |       1637 |                                             pandas.core.arrays.categorical
import time:       540 |        540 |                                               pandas._libs.tslib
import time:        89 |         89 |                                                 pandas.core.array_algos.datetimelike_accumulations
import time:      1098 |       1187 |                                               pandas.core.arrays.datetimelike
import time:       134 |        134 |                                               pandas.core.arrays._ranges
import time:       131 |        131 |                                               pandas.tseries.offsets
import time:       626 |       2615 |                                             pandas.core.arrays.datetimes
import time:       443 |        443 |                                               pandas.core.arrays.timedeltas
import time:      1088 |       1530 |                                             pandas.core.arrays.interval
import time:       423 |        423 |                                             pandas.core.arrays.period
import time:       401 |        401 |                                                   pandas._libs.sparse
import time:       646 |       1046 |                                                 pandas.core.arrays.sparse.array
import time:       259 |       1304 |                                               pandas.core.arrays.sparse.accessor
import time:       139 |       1443 |                                             pandas.core.arrays.sparse
import time:       341 |        341 |                                             pandas.core.arrays.string_arrow
import time:       189 |      19982 |                                           pandas.core.arrays
import time:       147 |        147 |                                           pandas.core.flags
import time:       350 |        350 |                                                 pandas._libs.internals
import time:       117 |        117 |                                                   pandas.core._numba
import time:       220 |        336 |                                                 pandas.core._numba.executor
import time:       676 |       1361 |                                               pandas.core.apply
import time:       184 |        184 |                                                     pandas._libs.indexing
import time:       111 |        111 |                                                       pandas.core.indexes
import time:       716 |        716 |                                                         pandas._libs.index
import time:       945 |        945 |                                                         pandas._libs.writers
import time:       556 |        556 |                                                         pandas._libs.join
import time:       164 |        164 |                                                         pandas.core.array_algos.putmask
import time:       187 |        187 |                                                         pandas.core.indexes.frozen
import time:      1897 |       1897 |                                                         pandas.core.strings.accessor
import time:      1711 |       6173 |                                                       pandas.core.indexes.base
import time:       187 |        187 |                                                         pandas.core.indexes.extension
import time:       267 |        453 |                                                       pandas.core.indexes.category
import time:       477 |        477 |                                                           pandas.core.indexes.range
import time:        91 |         91 |                                                             pandas.core.tools
import time:       171 |        261 |                                                           pandas.core.tools.timedeltas
import time:       631 |       1369 |                                                         pandas.core.indexes.datetimelike
import time:       100 |        100 |                                                         pandas.core.tools.times
import time:       791 |       2258 |                                                       pandas.core.indexes.datetimes
import time:      1140 |       1140 |                                                         pandas.core.indexes.multi
import time:       199 |        199 |                                                         pandas.core.indexes.timedeltas
import time:       685 |       2023 |                                                       pandas.core.indexes.interval
import time:       410 |        410 |                                                       pandas.core.indexes.period
import time:       302 |      11727 |                                                     pandas.core.indexes.api
import time:       993 |      12904 |                                                   pandas.core.indexing
import time:       100 |        100 |                                                   pandas.core.sample
import time:        98 |         98 |                                                   pandas.core.array_algos.replace
import time:       739 |        739 |                                                       pandas.core.internals.blocks
import time:       133 |        872 |                                                     pandas.core.internals.api
import time:       248 |        248 |                                                       pandas.core.internals.base
import time:       313 |        313 |                                                         pandas.core.internals.ops
import time:       583 |        896 |                                                       pandas.core.internals.managers
import time:       419 |       1561 |                                                     pandas.core.internals.array_manager
import time:       185 |        185 |                                                     pandas.core.internals.concat
import time:       118 |       2735 |                                                   pandas.core.internals
import time:       234 |        234 |                                                   pandas.core.internals.construction
import time:        81 |         81 |                                                     pandas.core.methods
import time:       105 |        105 |                                                       pandas.core.reshape
import time:       266 |        371 |                                                     pandas.core.reshape.concat
import time:       297 |        297 |                                                         gzip
import time:        39 |         39 |                                                           pwd
import time:        28 |         28 |                                                           grp
import time:      1011 |       1078 |                                                         tarfile
import time:        95 |         95 |                                                         pandas.core.shared_docs
import time:      1302 |       2771 |                                                       pandas.io.common
import time:      1353 |       4124 |                                                     pandas.io.formats.format
import time:       252 |       4827 |                                                   pandas.core.methods.describe
import time:        90 |         90 |                                                         pandas._libs.window
import time:       530 |        619 |                                                       pandas._libs.window.aggregations
import time:       217 |        217 |                                                         pandas._libs.window.indexers
import time:       359 |        576 |                                                       pandas.core.indexers.objects
import time:       107 |        107 |                                                       pandas.core.util.numba_
import time:       131 |        131 |                                                       pandas.core.window.common
import time:       161 |        161 |                                                       pandas.core.window.doc
import time:       138 |        138 |                                                       pandas.core.window.numba_
import time:       108 |        108 |                                                       pandas.core.window.online
import time:      1592 |       1592 |                                                       pandas.core.window.rolling
import time:       677 |       4106 |                                                     pandas.core.window.ewm
import time:       787 |        787 |                                                     pandas.core.window.expanding
import time:       147 |       5039 |                                                   pandas.core.window
import time:      4862 |      30794 |                                                 pandas.core.generic
import time:       190 |        190 |                                                 pandas.core.methods.selectn
import time:        83 |         83 |                                                   pandas.core.reshape.util
import time:       125 |        125 |                                                   pandas.core.tools.numeric
import time:       241 |        448 |                                                 pandas.core.reshape.melt
import time:       347 |        347 |                                                   pandas._libs.reshape
import time:       510 |        510 |                                                   pandas.core.indexes.accessors
import time:       114 |        114 |                                                     pandas.arrays
import time:       573 |        686 |                                                   pandas.core.tools.datetimes
import time:       734 |        734 |                                                   pandas.io.formats.info
import time:       796 |        796 |                                                     pandas.plotting._core
import time:       163 |        163 |                                                     pandas.plotting._misc
import time:       124 |       1083 |                                                   pandas.plotting
import time:      3005 |       6361 |                                                 pandas.core.series
import time:      5869 |      43660 |                                               pandas.core.frame
import time:       956 |        956 |                                               pandas.core.groupby.base
import time:       883 |        883 |                                                 pandas._libs.groupby
import time:        86 |         86 |                                                   pandas.core.groupby.categorical
import time:       380 |        466 |                                                 pandas.core.groupby.grouper
import time:       574 |       1922 |                                               pandas.core.groupby.ops
import time:       116 |        116 |                                                 pandas.core.groupby.numba_
import time:       228 |        228 |                                                 pandas.core.groupby.indexing
import time:      1793 |       2136 |                                               pandas.core.groupby.groupby
import time:      1539 |      51571 |                                             pandas.core.groupby.generic
import time:       129 |      51700 |                                           pandas.core.groupby
import time:       207 |      95944 |                                         pandas.core.api
import time:        91 |         91 |                                         pandas.tseries.api
import time:        88 |         88 |                                                 pandas.core.computation.common
import time:       150 |        238 |                                               pandas.core.computation.align
import time:       189 |        189 |                                                 pandas.core.computation.scope
import time:       364 |        552 |                                               pandas.core.computation.ops
import time:       155 |        944 |                                             pandas.core.computation.engines
import time:       106 |        106 |                                               pandas.core.computation.parsing
import time:       853 |        959 |                                             pandas.core.computation.expr
import time:       158 |       2059 |                                           pandas.core.computation.eval
import time:        75 |       2134 |                                         pandas.core.computation.api
import time:       154 |        154 |                                           pandas.core.reshape.encoding
import time:      1492 |       1492 |                                           pandas.core.reshape.merge
import time:       531 |        531 |                                           pandas.core.reshape.pivot
import time:       187 |        187 |                                           pandas.core.reshape.tile
import time:       145 |       2508 |                                         pandas.core.reshape.api
import time:       139 |        139 |                                           pandas.api.extensions
import time:        82 |         82 |                                           pandas.api.indexers
import time:        82 |         82 |                                               pandas.core.interchange
import time:       693 |        774 |                                             pandas.core.interchange.dataframe_protocol
import time:       203 |        203 |                                               pandas.core.interchange.utils
import time:       208 |        410 |                                             pandas.core.interchange.from_dataframe
import time:        94 |       1277 |                                           pandas.api.interchange
import time:        90 |         90 |                                             pandas.core.dtypes.api
import time:       109 |        199 |                                           pandas.api.types
import time:      1196 |       1196 |                                             pandas.core.resample
import time:       236 |        236 |                                                   pandas._libs.json
import time:       157 |        157 |                                                   pandas.io.json._normalize
import time:       144 |        144 |                                                   pandas.io.json._table_schema
import time:       463 |        463 |                                                         pandas._libs.parsers
import time:       520 |        520 |                                                           pandas.io.parsers.base_parser
import time:       166 |        685 |                                                         pandas.io.parsers.arrow_parser_wrapper
import time:       156 |        156 |                                                         pandas.io.parsers.c_parser_wrapper
import time:       345 |        345 |                                                         pandas.io.parsers.python_parser
import time:      1510 |       3157 |                                                       pandas.io.parsers.readers
import time:        99 |       3256 |                                                     pandas.io.parsers
import time:        20 |       3276 |                                                   pandas.io.parsers.readers
import time:       889 |       4699 |                                                 pandas.io.json._json
import time:       104 |       4803 |                                               pandas.io.json
import time:        22 |       4824 |                                             pandas.io.json._json
import time:      1273 |       1273 |                                             pandas.io.stata
import time:       128 |       7420 |                                           pandas.api.typing
import time:       171 |       9285 |                                         pandas.api
import time:       149 |        149 |                                               pandas._testing.contexts
import time:       157 |        306 |                                             pandas._testing._io
import time:       109 |        109 |                                             pandas._testing._warnings
import time:        49 |         49 |                                                 cmath
import time:       237 |        286 |                                               pandas._libs.testing
import time:       279 |        564 |                                             pandas._testing.asserters
import time:        92 |         92 |                                             pandas._testing.compat
import time:       445 |       1513 |                                           pandas._testing
import time:        89 |       1602 |                                         pandas.testing
import time:       122 |        122 |                                         pandas.util._print_versions
import time:       108 |        108 |                                           pandas.io.clipboards
import time:       125 |        125 |                                               pandas.io.excel._util
import time:       230 |        230 |                                               pandas.io.excel._calamine
import time:       226 |        226 |                                               pandas.io.excel._odfreader
import time:       367 |        367 |                                               pandas.io.excel._openpyxl
import time:       158 |        158 |                                               pandas.io.excel._pyxlsb
import time:       185 |        185 |                                               pandas.io.excel._xlrd
import time:      1125 |       2414 |                                             pandas.io.excel._base
import time:       191 |        191 |                                             pandas.io.excel._odswriter
import time:       168 |        168 |                                             pandas.io.excel._xlsxwriter
import time:       113 |       2884 |                                           pandas.io.excel
import time:       165 |        165 |                                           pandas.io.feather_format
import time:       102 |        102 |                                           pandas.io.gbq
import time:       623 |        623 |                                           pandas.io.html
import time:       115 |        115 |                                           pandas.io.orc
import time:       404 |        404 |                                           pandas.io.parquet
import time:       181 |        181 |                                             pandas.compat.pickle_compat
import time:       240 |        421 |                                           pandas.io.pickle
import time:       375 |        375 |                                             pandas.core.computation.pytables
import time:      1541 |       1916 |                                           pandas.io.pytables
import time:       205 |        205 |                                             pandas.io.sas.sasreader
import time:       104 |        308 |                                           pandas.io.sas
import time:        87 |         87 |                                           pandas.io.spss
import time:       671 |        671 |                                           pandas.io.sql
import time:       720 |        720 |                                           pandas.io.xml
import time:       237 |       8755 |                                         pandas.io.api
import time:       110 |        110 |                                         pandas.util._tester
import time:        69 |         69 |                                         pandas._version_meson
import time:       462 |     165192 |                                       pandas
import time:        86 |         86 |                                         sklearn.externals._packaging
import time:       106 |        106 |                                         sklearn.externals._packaging._structures
import time:       886 |       1077 |                                       sklearn.externals._packaging.version
import time:       165 |        165 |                                           ctypes.util
import time:       676 |        840 |                                         threadpoolctl
import time:       206 |       1046 |                                       sklearn.utils.parallel
import time:       111 |        111 |                                       pyarrow
import time:       977 |     389120 |                                     sklearn.utils.fixes
import time:       350 |     455219 |                                   sklearn.utils._array_api
import time:       116 |        116 |                                   sklearn.utils.deprecation
import time:       290 |        290 |                                     sklearn._cyutility
import time:       412 |        702 |                                   sklearn.utils._isfinite
import time:      4446 |       4446 |                                   sklearn.utils._tags
import time:       563 |     477322 |                                 sklearn.utils.validation
import time:       537 |     547334 |                               sklearn.utils._param_validation
import time:       157 |     547491 |                             sklearn.utils._chunking
import time:       313 |        313 |                                 sklearn.utils.sparsefuncs_fast
import time:       297 |        610 |                               sklearn.utils.extmath
import time:       293 |        902 |                             sklearn.utils._indexing
import time:        75 |         75 |                               sklearn.utils._missing
import time:       129 |        204 |                             sklearn.utils._mask
import time:        80 |         80 |                               sklearn.utils._repr_html
import time:       197 |        276 |                             sklearn.utils._repr_html.base
import time:       964 |        964 |                                 html.entities
import time:       290 |       1253 |                               html
import time:       317 |       1570 |                             sklearn.utils._repr_html.estimator
import time:       121 |        121 |                             sklearn.utils.class_weight
import time:       118 |        118 |                             sklearn.utils.discovery
import time:       183 |        183 |                             sklearn.utils.murmurhash
import time:       306 |     552267 |                           sklearn.utils
import time:        24 |     552290 |                         sklearn.utils._metadata_requests
import time:       122 |        122 |                         sklearn.utils._repr_html.params
import time:        98 |         98 |                           sklearn.utils._available_if
import time:       244 |        341 |                         sklearn.utils._set_output
import time:       588 |     553602 |                       sklearn.base
import time:       306 |        306 |                         sklearn.utils._openmp_helpers
import time:       120 |        425 |                       sklearn.utils._show_versions
import time:        74 |         74 |                       sklearn._built_with_meson
import time:       502 |     555320 |                     sklearn
import time:       133 |        133 |                           sklearn.metrics.cluster._bicluster
import time:        79 |         79 |                               sklearn.utils._unique
import time:       167 |        245 |                             sklearn.utils.multiclass
import time:       157 |        157 |                             sklearn.metrics.cluster._expected_mutual_info_fast
import time:       262 |        663 |                           sklearn.metrics.cluster._supervised
import time:       148 |        148 |                                 sklearn.utils.sparsefuncs
import time:       468 |        468 |                                   sklearn.utils._encode
import time:       882 |       1350 |                                 sklearn.preprocessing._encoders
import time:      2501 |       3998 |                               sklearn.preprocessing._data
import time:       146 |        146 |                                 sklearn.utils.stats
import time:       536 |        682 |                               sklearn.preprocessing._discretization
import time:       180 |        180 |                                 sklearn.utils.metaestimators
import time:       490 |        670 |                               sklearn.preprocessing._function_transformer
import time:       833 |        833 |                               sklearn.preprocessing._label
import time:       281 |        281 |                                 sklearn.preprocessing._csr_polynomial_expansion
import time:       893 |       1173 |                               sklearn.preprocessing._polynomial
import time:       240 |        240 |                                 sklearn.preprocessing._target_encoder_fast
import time:       476 |        716 |                               sklearn.preprocessing._target_encoder
import time:       193 |       8262 |                             sklearn.preprocessing
import time:       860 |        860 |                                   sklearn.metrics._dist_metrics
import time:       284 |        284 |                                       sklearn.metrics._pairwise_distances_reduction._datasets_pair
import time:       444 |        444 |                                       sklearn.utils._cython_blas
import time:       297 |       1024 |                                     sklearn.metrics._pairwise_distances_reduction._base
import time:       311 |        311 |                                     sklearn.metrics._pairwise_distances_reduction._middle_term_computer
import time:       168 |        168 |                                     sklearn.utils._heap
import time:       158 |        158 |                                     sklearn.utils._sorting
import time:       333 |       1992 |                                   sklearn.metrics._pairwise_distances_reduction._argkmin
import time:       247 |        247 |                                   sklearn.metrics._pairwise_distances_reduction._argkmin_classmode
import time:       277 |        277 |                                     sklearn.utils._vector_sentinel
import time:       286 |        563 |                                   sklearn.metrics._pairwise_distances_reduction._radius_neighbors
import time:       256 |        256 |                                   sklearn.metrics._pairwise_distances_reduction._radius_neighbors_classmode
import time:       319 |       4233 |                                 sklearn.metrics._pairwise_distances_reduction._dispatcher
import time:       101 |       4334 |                               sklearn.metrics._pairwise_distances_reduction
import time:       216 |        216 |                               sklearn.metrics._pairwise_fast
import time:       657 |       5206 |                             sklearn.metrics.pairwise
import time:       192 |      13659 |                           sklearn.metrics.cluster._unsupervised
import time:       162 |      14615 |                         sklearn.metrics.cluster
import time:       642 |        642 |                         sklearn.metrics._classification
import time:        86 |         86 |                           sklearn.metrics._plot
import time:        80 |         80 |                           sklearn.utils._optional_dependencies
import time:        93 |         93 |                             sklearn.utils._response
import time:       204 |        296 |                           sklearn.utils._plotting
import time:       210 |        672 |                         sklearn.metrics._plot.confusion_matrix
import time:       103 |        103 |                             sklearn.metrics._base
import time:       365 |        467 |                           sklearn.metrics._ranking
import time:       135 |        602 |                         sklearn.metrics._plot.det_curve
import time:       120 |        120 |                         sklearn.metrics._plot.precision_recall_curve
import time:       130 |        130 |                         sklearn.metrics._plot.regression
import time:       157 |        157 |                         sklearn.metrics._plot.roc_curve
import time:       350 |        350 |                         sklearn.metrics._regression
import time:      3061 |       3061 |                         sklearn.metrics._scorer
import time:       267 |      20613 |                       sklearn.metrics
import time:       153 |        153 |                                       sklearn.neighbors._partition_nodes
import time:       740 |        892 |                                     sklearn.neighbors._ball_tree
import time:       512 |        512 |                                       sklearn.neighbors._kd_tree
import time:       815 |       1327 |                                     sklearn.neighbors._base
import time:       228 |        228 |                                       sklearn.utils.arrayfuncs
import time:       618 |        845 |                                     sklearn.neighbors._classification
import time:       173 |        173 |                                       sklearn.neighbors._unsupervised
import time:       580 |        753 |                                     sklearn.neighbors._graph
import time:       356 |        356 |                                     sklearn.neighbors._kde
import time:       533 |        533 |                                     sklearn.neighbors._lof
import time:       219 |        219 |                                                 sklearn.utils._random
import time:       250 |        469 |                                               sklearn.utils._seq_dataset
import time:       513 |        981 |                                             sklearn.linear_model._base
import time:       385 |        385 |                                             sklearn.linear_model._bayes
import time:      1600 |       1600 |                                                   sklearn.model_selection._split
import time:       753 |       2353 |                                                 sklearn.model_selection._classification_threshold
import time:      1366 |       1366 |                                                   sklearn.model_selection._validation
import time:       286 |       1652 |                                                 sklearn.model_selection._plot
import time:       122 |        122 |                                                   sklearn.utils.random
import time:      1212 |       1333 |                                                 sklearn.model_selection._search
import time:       172 |       5508 |                                               sklearn.model_selection
import time:       509 |        509 |                                               sklearn.linear_model._cd_fast
