import time: self [us] | cumulative | imported package
import time:       291 |        291 |                                 sqlalchemy.util.topological
import time:      1560 |      10518 |                               sqlalchemy.sql.ddl
import time:       166 |        166 |                                           _json
import time:       276 |        441 |                                         json.scanner
import time:       328 |        769 |                                       json.decoder
import time:       317 |        317 |                                       json.encoder
import time:       217 |       1302 |                                     json
import time:       248 |        248 |                                       _compat_pickle
import time:        92 |         92 |                                       _pickle
import time:       653 |        992 |                                     pickle
import time:       129 |        129 |                                       sqlalchemy.engine._py_processors
import time:       107 |        235 |                                     sqlalchemy.engine.processors
import time:      2386 |       4913 |                                   sqlalchemy.sql.sqltypes
import time:      9574 |      14487 |                                 sqlalchemy.sql.selectable
import time:      4650 |      19137 |                               sqlalchemy.sql.schema
import time:       707 |      30725 |                             sqlalchemy.sql.util
import time:      1732 |      32456 |                           sqlalchemy.sql.dml
import time:       829 |      33284 |                         sqlalchemy.sql.crud
import time:      3526 |       3526 |                         sqlalchemy.sql.functions
import time:      5590 |      43470 |                       sqlalchemy.sql.compiler
import time:        87 |         87 |                         sqlalchemy.sql._dml_constructors
import time:       265 |        265 |                         sqlalchemy.sql._elements_constructors
import time:       247 |        247 |                         sqlalchemy.sql._selectable_constructors
import time:       714 |        714 |                         sqlalchemy.sql.lambdas
import time:       340 |       1651 |                       sqlalchemy.sql.expression
import time:       893 |        893 |                         sqlalchemy.sql.events
import time:       438 |       1330 |                       sqlalchemy.sql.naming
import time:       280 |        280 |                       sqlalchemy.sql.default_comparator
import time:      8663 |      63322 |                     sqlalchemy.sql
import time:        20 |      63342 |                   sqlalchemy.sql.compiler
import time:      2174 |      71533 |                 sqlalchemy.engine.interfaces
import time:       223 |        223 |                 sqlalchemy.engine.util
import time:       812 |      72567 |               sqlalchemy.engine.base
import time:      1695 |      74261 |             sqlalchemy.engine.events
import time:       109 |        109 |                 sqlalchemy.dialects
import time:       599 |        708 |               sqlalchemy.engine.url
import time:       141 |        141 |               sqlalchemy.engine.mock
import time:       552 |       1399 |             sqlalchemy.engine.create
import time:       619 |        619 |                 sqlalchemy.engine.row
import time:      1688 |       2307 |               sqlalchemy.engine.result
import time:       809 |       3115 |             sqlalchemy.engine.cursor
import time:      1495 |       1495 |             sqlalchemy.engine.reflection
import time:       223 |      80492 |           sqlalchemy.engine
import time:       164 |        164 |           sqlalchemy.schema
import time:       149 |        149 |           sqlalchemy.types
import time:       156 |        156 |             sqlalchemy.engine.characteristics
import time:      1104 |       1259 |           sqlalchemy.engine.default
import time:       500 |      92050 |         sqlalchemy
import time:       160 |        160 |               sqlalchemy.dialects.sqlite.json
import time:      1812 |       1972 |             sqlalchemy.dialects.sqlite.base
import time:       341 |        341 |             sqlalchemy.dialects.sqlite.pysqlite
import time:       300 |       2612 |           sqlalchemy.dialects.sqlite.aiosqlite
import time:       116 |        116 |           sqlalchemy.dialects.sqlite.pysqlcipher
import time:       256 |        256 |             sqlalchemy.dialects._typing
import time:       588 |        843 |           sqlalchemy.dialects.sqlite.dml
import time:       231 |       3801 |         sqlalchemy.dialects.sqlite
import time:       121 |        121 |                       sqlalchemy.sql._orm_types
import time:       597 |        717 |                     sqlalchemy.orm._typing
import time:      1005 |       1722 |                   sqlalchemy.orm.base
import time:       310 |        310 |                   sqlalchemy.orm.mapped_collection
import time:      1813 |       3844 |                 sqlalchemy.orm.collections
import time:       608 |        608 |                   sqlalchemy.orm.path_registry
import time:      1205 |       1812 |                 sqlalchemy.orm.interfaces
import time:      1779 |       7434 |               sqlalchemy.orm.attributes
import time:      2384 |       9818 |             sqlalchemy.orm.util
import time:       404 |      10221 |           sqlalchemy.orm.exc
import time:       560 |        560 |               sqlalchemy.orm.state
import time:       696 |       1255 |             sqlalchemy.orm.instrumentation
import time:       109 |        109 |                   sqlalchemy.future.engine
import time:       101 |        209 |                 sqlalchemy.future
import time:      1066 |       1274 |               sqlalchemy.orm.context
import time:       672 |       1946 |             sqlalchemy.orm.loading
import time:      1130 |       1130 |               sqlalchemy.orm.strategy_options
import time:       925 |        925 |               sqlalchemy.orm.descriptor_props
import time:      2439 |       2439 |               sqlalchemy.orm.relationships
import time:       667 |       5159 |             sqlalchemy.orm.properties
import time:      2130 |      10488 |           sqlalchemy.orm.mapper
import time:      5215 |       5215 |             sqlalchemy.orm.query
import time:       235 |        235 |                 sqlalchemy.orm.evaluator
import time:       108 |        108 |                   sqlalchemy.orm.sync
import time:       318 |        425 |                 sqlalchemy.orm.persistence
import time:       681 |       1341 |               sqlalchemy.orm.bulk_persistence
import time:       196 |        196 |               sqlalchemy.orm.identity
import time:       292 |        292 |               sqlalchemy.orm.state_changes
import time:       412 |        412 |               sqlalchemy.orm.unitofwork
import time:      2372 |       4610 |             sqlalchemy.orm.session
import time:       850 |      10675 |           sqlalchemy.orm._orm_constructors
import time:       321 |        321 |             sqlalchemy.orm.clsregistry
import time:      1115 |       1115 |             sqlalchemy.orm.decl_base
import time:       885 |       2320 |           sqlalchemy.orm.decl_api
import time:      1073 |       1073 |               sqlalchemy.orm.strategies
import time:       418 |       1490 |             sqlalchemy.orm.writeonly
import time:       391 |       1881 |           sqlalchemy.orm.dynamic
import time:       328 |        328 |             sqlalchemy.orm.scoping
import time:      4913 |       5240 |           sqlalchemy.orm.events
import time:       452 |        452 |           sqlalchemy.orm.dependency
import time:       480 |      41754 |         sqlalchemy.orm
import time:       560 |        560 |                   gettext
import time:       367 |        367 |                     click._compat
import time:        96 |         96 |                       click.globals
import time:       218 |        218 |                       click.utils
import time:       316 |        629 |                     click.exceptions
import time:       651 |       1646 |                   click.types
import time:       204 |        204 |                     click.parser
import time:       247 |        450 |                   click.formatting
import time:       224 |        224 |                   click.termui
import time:      1116 |       3994 |                 click.core
import time:       242 |        242 |                 click.decorators
import time:       221 |       4457 |               click
import time:        92 |         92 |                 grant_ai.cli
import time:        60 |         60 |                   grant_ai.ai
import time:       130 |        130 |                     numpy.version
import time:       105 |        105 |                     numpy._expired_attrs_2_0
import time:        98 |         98 |                         numpy._utils._convertions
import time:       112 |        209 |                       numpy._utils
import time:       187 |        395 |                     numpy._globals
import time:        25 |         25 |                       numpy._distributor_init_local
import time:       112 |        137 |                     numpy._distributor_init
import time:       236 |        236 |                               numpy.exceptions
import time:       243 |        243 |                               numpy._core._exceptions
import time:        95 |         95 |                               numpy._core.printoptions
import time:     19049 |      19049 |                               numpy.dtypes
import time:      6640 |      26261 |                             numpy._core._multiarray_umath
import time:       143 |        143 |                               numpy._utils._inspect
import time:       396 |        538 |                             numpy._core.overrides
import time:       784 |      27582 |                           numpy._core.multiarray
import time:       175 |        175 |                           numpy._core.umath
import time:       161 |        161 |                             numpy._core._dtype
import time:       109 |        109 |                             numpy._core._string_helpers
import time:       290 |        290 |                             numpy._core._type_aliases
import time:       541 |       1099 |                           numpy._core.numerictypes
import time:       161 |        161 |                             numpy._core._ufunc_config
import time:       264 |        264 |                               numpy._core._methods
import time:      1022 |       1286 |                             numpy._core.fromnumeric
import time:       322 |       1768 |                           numpy._core._machar
import time:       351 |        351 |                               numpy._core.shape_base
import time:       115 |        115 |                               numpy._core._asarray
import time:       617 |        617 |                               numpy._core.arrayprint
import time:       940 |       2023 |                             numpy._core.numeric
import time:       256 |       2278 |                           numpy._core.einsumfunc
import time:       438 |        438 |                           numpy._core.function_base
import time:       295 |        295 |                           numpy._core.getlimits
import time:       163 |        163 |                           numpy._core.memmap
import time:       299 |        299 |                           numpy._core.records
import time:      1050 |       1050 |                           numpy._core._add_newdocs
import time:       330 |        330 |                           numpy._core._add_newdocs_scalars
import time:       125 |        125 |                           numpy._core._dtype_ctypes
import time:       492 |        492 |                               _ctypes
import time:       297 |        297 |                               ctypes._endian
import time:      1007 |       1795 |                             ctypes
import time:       787 |       2581 |                           numpy._core._internal
import time:       132 |        132 |                           numpy._pytesttester
import time:       897 |      39205 |                         numpy._core
import time:        90 |      39294 |                       numpy._core._multiarray_umath
import time:       348 |      39642 |                     numpy.__config__
import time:       204 |        204 |                                       numpy._typing._nbit_base
import time:       215 |        215 |                                       numpy._typing._nested_sequence
import time:       104 |        104 |                                       numpy._typing._shape
import time:      2289 |       2811 |                                     numpy._typing._array_like
import time:      2883 |       2883 |                                     numpy._typing._char_codes
import time:      1821 |       1821 |                                     numpy._typing._dtype_like
import time:       111 |        111 |                                     numpy._typing._nbit
import time:       110 |        110 |                                     numpy._typing._scalars
import time:       104 |        104 |                                     numpy._typing._ufunc
import time:       902 |       8740 |                                   numpy._typing
import time:       211 |        211 |                                     numpy.lib._stride_tricks_impl
import time:       420 |        631 |                                   numpy.lib._twodim_base_impl
import time:        95 |         95 |                                     numpy.lib._array_utils_impl
import time:       193 |        288 |                                   numpy.lib.array_utils
import time:       362 |        362 |                                   numpy.linalg._umath_linalg
import time:      3198 |      13217 |                                 numpy.linalg._linalg
import time:       235 |        235 |                                 numpy.linalg.linalg
import time:       299 |      13749 |                               numpy.linalg
import time:       368 |      14117 |                             numpy.matrixlib.defmatrix
import time:       178 |      14295 |                           numpy.matrixlib
import time:       344 |        344 |                             numpy.lib._histograms_impl
import time:      1209 |       1552 |                           numpy.lib._function_base_impl
import time:        98 |         98 |                           numpy.lib.stride_tricks
import time:       612 |      16556 |                         numpy.lib._index_tricks_impl
import time:       399 |      16954 |                       numpy.lib._arraypad_impl
import time:       686 |        686 |                       numpy.lib._arraysetops_impl
import time:       166 |        166 |                       numpy.lib._arrayterator_impl
import time:       503 |        503 |                       numpy.lib._nanfunctions_impl
import time:       228 |        228 |                             numpy.lib._utils_impl
import time:       280 |        507 |                           numpy.lib._format_impl
import time:       153 |        660 |                         numpy.lib.format
import time:       226 |        226 |                         numpy.lib._datasource
import time:       413 |        413 |                         numpy.lib._iotools
import time:       832 |       2129 |                       numpy.lib._npyio_impl
import time:       117 |        117 |                           numpy.lib._ufunclike_impl
import time:       324 |        441 |                         numpy.lib._type_check_impl
import time:       686 |       1126 |                       numpy.lib._polynomial_impl
import time:       375 |        375 |                       numpy.lib._shape_base_impl
import time:       150 |        150 |                       numpy.lib._version
import time:        92 |         92 |                       numpy.lib.introspect
import time:       239 |        239 |                       numpy.lib.mixins
import time:        84 |         84 |                       numpy.lib.npyio
import time:       240 |        240 |                         numpy.lib._scimath_impl
import time:       164 |        404 |                       numpy.lib.scimath
import time:      1197 |      24101 |                     numpy.lib
import time:       135 |        135 |                     numpy._array_api_info
import time:      2413 |      67055 |                   numpy
import time:       205 |        205 |                       sklearn._config
import time:       234 |        234 |                         sklearn.__check_build._check_build
import time:       198 |        431 |                       sklearn.__check_build
import time:        84 |         84 |                       sklearn._distributor_init
import time:       262 |        262 |                         sklearn.exceptions
import time:       109 |        109 |                                 sklearn.utils._bunch
import time:       734 |        843 |                               sklearn.utils._metadata_requests
import time:       259 |       1101 |                             sklearn.utils.metadata_routing
import time:       491 |        491 |                                     scipy.__config__
import time:       115 |        115 |                                     scipy.version
import time:        46 |         46 |                                       scipy._distributor_init_local
import time:       250 |        296 |                                     scipy._distributor_init
import time:        66 |         66 |                                         cython
import time:       495 |        561 |                                       scipy._lib._testutils
import time:       192 |        752 |                                     scipy._lib
import time:      2085 |       2085 |                                     scipy._lib._pep440
import time:       424 |        424 |                                       scipy._lib._ccallback_c
import time:       341 |        764 |                                     scipy._lib._ccallback
import time:       674 |       5174 |                                   scipy
import time:       395 |        395 |                                             numpy._typing._add_docstring
import time:       301 |        695 |                                           numpy.typing
import time:       797 |        797 |                                                 scipy._lib.array_api_compat.common._typing
import time:       324 |       1120 |                                               scipy._lib.array_api_compat.common._helpers
import time:       139 |       1259 |                                             scipy._lib.array_api_compat.common
import time:       120 |       1378 |                                           scipy._lib.array_api_compat
import time:       194 |        194 |                                                 numpy.polynomial.polyutils
import time:       345 |        345 |                                                 numpy.polynomial._polybase
import time:       766 |       1303 |                                               numpy.polynomial.chebyshev
import time:       316 |        316 |                                               numpy.polynomial.hermite
import time:       257 |        257 |                                               numpy.polynomial.hermite_e
import time:       259 |        259 |                                               numpy.polynomial.laguerre
import time:       231 |        231 |                                               numpy.polynomial.legendre
import time:       240 |        240 |                                               numpy.polynomial.polynomial
import time:       421 |       3024 |                                             numpy.polynomial
import time:      3264 |       3264 |                                               numpy.ma.core
import time:       784 |        784 |                                               numpy.ma.extras
import time:       177 |       4224 |                                             numpy.ma
